unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
476,"COBOL","ST105A","ST105A.cob",ca49bee4fc3fb33ad0df9db3e380e2576f9546e80a5ade864a0361ae87327b01,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
477,"COBOL","ST106A","ST106A.cob",3cabb6e8e5de463957a3865f697d82d3985bb573fc7d820a81d30ae11da87c88,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","not_comparable",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
478,"COBOL","ST107A","ST107A.cob",3c6a343d59932fbd4e505d5e6389ac1e900e9ff55213b4009fdf948a3335e291,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
479,"COBOL","ST108A","ST108A.cob",e9fda6517c711c0ec812d9157a4ce733a1e8b00306f835caa1c887a0c79f55f5,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","not_comparable",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
480,"COBOL","ST109A","ST109A.cob",25734f0ceaf3a74fb63cfc4b8fdc11820e5e7798865c97857d739790a13e3b9a,"pass","pass",0,"accepted","pass",0,"match","match","match","match","match",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
481,"COBOL","ST110A","ST110A.cob",aed941ef81882a9169e360d31faea1e9150f9e475c91145c316cf11edc13e262,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
482,"COBOL","ST111A","ST111A.cob",67599881264627f38e7286430f89d294ebd5f170d0fe3c9ec3102cd83b8e4a0a,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
483,"COBOL","ST112M","ST112M.cob",2444e5ec8458fe3e5a3d7463edbade4212f84d46c767351bf70580e03608b8cb,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_CLOSE_REEL_NOT_DECLARED_FILE",no,"cobrun: unsupported: CLOSE: `REEL` is not a declared file"
484,"COBOL","ST113M","ST113M.cob",9273f6c46f2e4e6f3432c82f4b6979234737af408bb46a7ea71e184608495ee8,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
485,"COBOL","ST114M","ST114M.cob",5d72ce3de599e8e59af456a2ca69ba36c969431e5f63fab75a9959575096e801,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
