diagnostic,phase,count,example_test_id
cobrun: unsupported: not a numeric literal: ALL,grammar,1,0667
cobrun: unsupported: not a numeric literal: AT,grammar,1,0797
cobrun: unsupported: not a numeric literal: B,grammar,1,1112
cobrun: unsupported: not a numeric literal: DOGGY,grammar,1,0831
cobrun: unsupported: not a numeric literal: FAILED,grammar,1,0523
cobrun: unsupported: not a numeric literal: FENCE,grammar,6,1261
"cobrun: unsupported: not a numeric literal: FOO,",grammar,3,0958
cobrun: unsupported: not a numeric literal: FUNCTION,grammar,7,0579
cobrun: unsupported: not a numeric literal: GLOB-PATH2,grammar,1,0532
cobrun: unsupported: not a numeric literal: H,grammar,1,1115
cobrun: unsupported: not a numeric literal: INVALID-LINE,grammar,1,0798
cobrun: unsupported: not a numeric literal: JSON-CODE,grammar,1,1227
cobrun: unsupported: not a numeric literal: LENGTH,grammar,1,1118
cobrun: unsupported: not a numeric literal: NULL,grammar,4,0544
cobrun: unsupported: not a numeric literal: ORT,grammar,1,0524
cobrun: unsupported: not a numeric literal: PARM-STR,grammar,1,0637
cobrun: unsupported: not a numeric literal: SIZE,grammar,1,1119
cobrun: unsupported: not a numeric literal: SPACE,grammar,2,1089
cobrun: unsupported: not a numeric literal: SYSTEM-OFFSET,grammar,1,1104
cobrun: unsupported: not a numeric literal: WHEN-COMPILED,grammar,1,1120
cobrun: unsupported: not a numeric literal: WITHPAR(1),grammar,1,1107
cobrun: unsupported: not a numeric literal: X,grammar,13,0530
cobrun: unsupported: not a numeric literal: X-ALL,grammar,1,0695
cobrun: unsupported: not a numeric literal: Z,grammar,3,0689
cobrun: unsupported: not a numeric literal: Z-ASC,grammar,1,0788
cobrun: unsupported: reference-modification length 'REC-SIZE - 2' is not an integer,checker,1,0911
cobrun: unsupported: subscript '(3 + 1) / 2' is not an integer,checker,1,0630
cobrun: unsupported: trailing tokens in condition at ),checker,1,0910
cobrun: unsupported: trailing tokens in condition at +,checker,1,0697
cobrun: unsupported: unrecognized USAGE BINARY-C-LONG,data-layout,1,1183
cobrun: unsupported: unrecognized USAGE COMPUTATIONAL-9,data-layout,1,1206
cobrun: unsupported: unrecognized USAGE FLOAT-DECIMAL-16,data-layout,1,0834
cobrun: unsupported: unrecognized USAGE INT,data-layout,1,0607
cobrun: unsupported: unrecognized USAGE PROCEDURE-POINTER,data-layout,1,1185
cobrun: unsupported: unrecognized USAGE SIGNED-INT,data-layout,1,0846
